Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
CHIP_BMAL1_BMAL1_6AN_ChIPSeq___U2OS_cells_stably_expressing_Bmal1_Luc___osteosarcoma_cell_line_U2OS_stably_expressing_Bmal1_Luc	4660	U2OS BMAL1 Chip-Seq	CHIP_BMAL1_BMAL1_6AN	U2OS	Cancer	Unknown	Cell Line
CHIP_BMAL1_BMAL1_DMSO_ChIPSeq___U2OS_cells_stably_expressing_Bmal1_Luc___osteosarcoma_cell_line_U2OS_stably_expressing_Bmal1_Luc	4659	U2OS BMAL1 Chip-Seq	CHIP_BMAL1_BMAL1_DMSO	U2OS	Cancer	Unknown	Cell Line
CHIP_BMI1_K562	3871	K562 BMI1 Chip-Seq	CHIP_BMI1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BMI1_GM12878	2894	GM12878 BMI1 Chip-Seq	CHIP_BMI1	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BMI1_MCF_7	4418	MCF-7 BMI1 Chip-Seq	CHIP_BMI1	MCF-7	Other	Unknown	Cell Line
CHIP_BRCA1_H1_hESC	1285	H1_hESC BRCA1 Chip-Seq	CHIP_BRCA1	H1	ESC	Unknown	Cell Line
CHIP_BRCA1_K562	2153	K562 BRCA1 Chip-Seq	CHIP_BRCA1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BRCA1_HepG2	1307	HepG2 BRCA1 Chip-Seq	CHIP_BRCA1	HepG2	Liver	Unknown	Cell Line
CHIP_BRCA1_GM12878	1270	GM12878 BRCA1 Chip-Seq	CHIP_BRCA1	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BRD4_K562	3256	K562 BRD4 Chip-Seq	CHIP_BRD4	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BRD4_HepG2	3046	HepG2 BRD4 Chip-Seq	CHIP_BRD4	HepG2	Liver	Unknown	Cell Line
CHIP_BRD9_K562	2011	K562 BRD9 Chip-Seq	CHIP_BRD9	K562	HSC & B Cell	Unknown	Cell Line
CHIP_C11orf30_K562	2522	K562 C11orf30 Chip-Seq	CHIP_C11orf30	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBFA2T2_K562	3607	K562 CBFA2T2 Chip-Seq	CHIP_CBFA2T2	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBFA2T3_K562	3602	K562 CBFA2T3 Chip-Seq	CHIP_CBFA2T3	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBFB_GM12878	4110	GM12878 CBFB Chip-Seq	CHIP_CBFB	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CBX1_K562	4357	K562 CBX1 Chip-Seq	CHIP_CBX1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBX2_A549	2893	A549 CBX2 Chip-Seq	CHIP_CBX2	A549	Cancer	Unknown	Cell Line
CHIP_CBX2_HepG2	3935	HepG2 CBX2 Chip-Seq	CHIP_CBX2	HepG2	Liver	Unknown	Cell Line
CHIP_CBX3_K562	842	K562 CBX3 Chip-Seq	CHIP_CBX3	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBX3_K562	1052	K562 CBX3 Chip-Seq	CHIP_CBX3	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBX3_GM12878	3133	GM12878 CBX3 Chip-Seq	CHIP_CBX3	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CBX5_K562	2293	K562 CBX5 Chip-Seq	CHIP_CBX5	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CBX5_GM12878	2584	GM12878 CBX5 Chip-Seq	CHIP_CBX5	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CBX8_A549	3346	A549 CBX8 Chip-Seq	CHIP_CBX8	A549	Cancer	Unknown	Cell Line
CHIP_CC2D1A_K562	2497	K562 CC2D1A Chip-Seq	CHIP_CC2D1A	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CCAR2_K562	3303	K562 CCAR2 Chip-Seq	CHIP_CCAR2	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CCAR2_HepG2	2224	HepG2 CCAR2 Chip-Seq	CHIP_CCAR2	HepG2	Liver	Unknown	Cell Line
CHIP_CDC5L_K562	1832	K562 CDC5L Chip-Seq	CHIP_CDC5L	K562	HSC & B Cell	Unknown	Cell Line
CHIP_3xFLAG_CEBPA_HepG2_genetically_modified_using_CRISPR	1892	HepG2 CEBPA Chip-Seq	CHIP_CEBPA	HepG2	Liver	Unknown	Cell Line
CHIP_CEBPB_A549	1245	A549 CEBPB Chip-Seq	CHIP_CEBPB	A549	Cancer	Unknown	Cell Line
CHIP_CEBPB_K562	1361	K562 CEBPB Chip-Seq	CHIP_CEBPB	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CEBPB_HepG2	1028	HepG2 CEBPB Chip-Seq	CHIP_CEBPB	HepG2	Liver	Unknown	Cell Line
CHIP_CEBPB_HepG2	1313	HepG2 CEBPB Chip-Seq	CHIP_CEBPB	HepG2	Liver	Unknown	Cell Line
CHIP_CEBPB_GM12878	3553	GM12878 CEBPB Chip-Seq	CHIP_CEBPB	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__CEBPb_HighDensity_DMI___hMSC___Human_Mesenchymal_Stem_Cells	4642	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__CEBPb_HighDensity_noDMI___hMSC___Human_Mesenchymal_Stem_Cells	4640	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__CEBPb_LowDensity_DMI___hMSC___Human_Mesenchymal_Stem_Cells	4641	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_0_1uL___hMSC___Human_Mesenchymal_Stem_Cells	4646	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_0_1uL_plusATF4_0_002uL___hMSC___Human_Mesenchymal_Stem_Cells	4651	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_0_1uL_plusATF4_0_02uL___hMSC___Human_Mesenchymal_Stem_Cells	4652	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_0_1uL_plusATF4_0_2uL___hMSC___Human_Mesenchymal_Stem_Cells	4653	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_0_25uL___hMSC___Human_Mesenchymal_Stem_Cells	4647	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_1_0uL___hMSC___Human_Mesenchymal_Stem_Cells	4648	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPb_ChIP_seq__InVitroCistromics_CEBPb_10uL___hMSC___Human_Mesenchymal_Stem_Cells	4649	hMSC CEBPb Chip-Seq	CHIP_CEBPb	hMSC	Mesench	Unknown	Cell Line
CHIP_CEBPB_IMR_90	1324	IMR-90 CEBPB Chip-Seq	CHIP_CEBPB	IMR-90	Stromal	Unknown	Cell Line
CHIP_3xFLAG_CEBPG_HepG2_genetically_modified_using_CRISPR	3425	HepG2 CEBPG Chip-Seq	CHIP_CEBPG	HepG2	Liver	Unknown	Cell Line
CHIP_CEBPZ_K562	3353	K562 CEBPZ Chip-Seq	CHIP_CEBPZ	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CEBPZ_HepG2	1299	HepG2 CEBPZ Chip-Seq	CHIP_CEBPZ	HepG2	Liver	Unknown	Cell Line
CHIP_CEBPZ_GM12878	2511	GM12878 CEBPZ Chip-Seq	CHIP_CEBPZ	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CHAMP1_K562	1642	K562 CHAMP1 Chip-Seq	CHIP_CHAMP1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CHAMP1_K562	2414	K562 CHAMP1 Chip-Seq	CHIP_CHAMP1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CHD1_H1_hESC	781	H1_hESC CHD1 Chip-Seq	CHIP_CHD1	H1	ESC	Unknown	Cell Line
CHIP_CHD1_H1_hESC	1283	H1_hESC CHD1 Chip-Seq	CHIP_CHD1	H1	ESC	Unknown	Cell Line
CHIP_CHD1_GM12878	1258	GM12878 CHD1 Chip-Seq	CHIP_CHD1	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CHD1_MCF_7	2552	MCF_7 CHD1 Chip-Seq	CHIP_CHD1	MCF_7	Other	Unknown	Cell Line
CHIP_CHD1_IMR_90	1318	IMR-90 CHD1 Chip-Seq	CHIP_CHD1	IMR-90	Stromal	Unknown	Cell Line
CHIP_CHD2_A549	1652	A549 CHD2 Chip-Seq	CHIP_CHD2	A549	Cancer	Unknown	Cell Line
CHIP_CHD2_SK_N_SH	2299	SK_N_SH CHD2 Chip-Seq	CHIP_CHD2	SK_N_SH	Cancer	Unknown	Cell Line
CHIP_CHD2_H1_hESC	1282	H1_hESC CHD2 Chip-Seq	CHIP_CHD2	H1	ESC	Unknown	Cell Line
CHIP_CHD2_HepG2	1312	HepG2 CHD2 Chip-Seq	CHIP_CHD2	HepG2	Liver	Unknown	Cell Line
CHIP_CHD2_GM12878	1269	GM12878 CHD2 Chip-Seq	CHIP_CHD2	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CHD4_A549	3137	A549 CHD4 Chip-Seq	CHIP_CHD4	A549	Cancer	Unknown	Cell Line
CHIP_CHD4_HepG2	2768	HepG2 CHD4 Chip-Seq	CHIP_CHD4	HepG2	Liver	Unknown	Cell Line
CHIP_CHD4_GM12878	3769	GM12878 CHD4 Chip-Seq	CHIP_CHD4	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CHD7_H1_hESC	860	H1_hESC CHD7 Chip-Seq	CHIP_CHD7	H1	ESC	Unknown	Cell Line
CHIP_CLOCK_CLOCK_6AN_ChIPSeq___U2OS_cells_stably_expressing_Bmal1_Luc___osteosarcoma_cell_line_U2OS_stably_expressing_Bmal1_Luc	4662	U2OS CLOCK Chip-Seq	CHIP_CLOCK	U2OS	Cancer	Unknown	Cell Line
CHIP_CLOCK_CLOCK_DMSO_ChIPSeq___U2OS_cells_stably_expressing_Bmal1_Luc___osteosarcoma_cell_line_U2OS_stably_expressing_Bmal1_Luc	4661	U2OS CLOCK Chip-Seq	CHIP_CLOCK	U2OS	Cancer	Unknown	Cell Line
CHIP_CLOCK_MCF_7	3608	MCF_7 CLOCK Chip-Seq	CHIP_CLOCK	MCF_7	Other	Unknown	Cell Line
CHIP_CLOCK_MCF_7	4328	MCF_7 CLOCK Chip-Seq	CHIP_CLOCK	MCF_7	Other	Unknown	Cell Line
CHIP_COPS2_K562	1863	K562 COPS2 Chip-Seq	CHIP_COPS2	K562	HSC & B Cell	Unknown	Cell Line
CHIP_COPS2_MCF_7	1991	MCF_7 COPS2 Chip-Seq	CHIP_COPS2	MCF_7	Other	Unknown	Cell Line
CHIP_CREB1_A549_treated_with_0_02%_ethanol_for_1_hour	1039	A549 CREB1 Chip-Seq	CHIP_CREB1	A549	Cancer	Unknown	Cell Line
CHIP_CREB1_A549_treated_with_0_02%_ethanol_for_1_hour	1040	A549 CREB1 Chip-Seq	CHIP_CREB1	A549	Cancer	Unknown	Cell Line
CHIP_3xFLAG_CREB1_HepG2_genetically_modified_using_CRISPR	2463	HepG2 CREB1 Chip-Seq	CHIP_CREB1	HepG2	Liver	Unknown	Cell Line
CHIP_CREB1_HepG2	1801	HepG2 CREB1 Chip-Seq	CHIP_CREB1	HepG2	Liver	Unknown	Cell Line
CHIP_CREB1_MCF_7	3364	MCF_7 CREB1 Chip-Seq	CHIP_CREB1	MCF_7	Other	Unknown	Cell Line
CHIP_CREB1_MCF_7	4215	MCF_7 CREB1 Chip-Seq	CHIP_CREB1	MCF_7	Other	Unknown	Cell Line
CHIP_CREB3L1_K562	1794	K562 CREB3L1 Chip-Seq	CHIP_CREB3L1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CREBBP_K562	841	K562 CREBBP Chip-Seq	CHIP_CREBBP	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CREM_K562	1687	K562 CREM Chip-Seq	CHIP_CREM	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CREM_HepG2	4240	HepG2 CREM Chip-Seq	CHIP_CREM	HepG2	Liver	Unknown	Cell Line
CHIP_CREM_GM12878	4042	GM12878 CREM Chip-Seq	CHIP_CREM	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_CSDE1_K562	2674	K562 CSDE1 Chip-Seq	CHIP_CSDE1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CSDE1_K562	3377	K562 CSDE1 Chip-Seq	CHIP_CSDE1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CSDE1_MCF_7	1819	MCF_7 CSDE1 Chip-Seq	CHIP_CSDE1	MCF_7	Other	Unknown	Cell Line
CHIP_CTBP1_K562	2082	K562 CTBP1 Chip-Seq	CHIP_CTBP1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_CTBP1_HEK293T	2195	HEK293T CTBP1 Chip-Seq	CHIP_CTBP1	HEK293T	Kidney	Unknown	Cell Line
CHIP_CTBP1_MCF_7	3411	MCF_7 CTBP1 Chip-Seq	CHIP_CTBP1	MCF_7	Other	Unknown	Cell Line
CHIP_CTBP2_H1_hESC	1376	H1_hESC CTBP2 Chip-Seq	CHIP_CTBP2	H1	ESC	Unknown	Cell Line
CHIP_CTCF_omental_fat_pad_female_adult__51_year_	2159	Omental Fat Pad	CHIP_CTCF	Omental Fat Pad	Adipose	Adult	Tissue
CHIP_CTCF_omental_fat_pad_male_adult__37_years_	1723	Omental Fat Pad	CHIP_CTCF	Omental Fat Pad	Adipose	Adult	Tissue
CHIP_CTCF_omental_fat_pad_male_adult__54_years_	1460	Omental Fat Pad	CHIP_CTCF	Omental Fat Pad	Adipose	Adult	Tissue
CHIP_CTCF_subcutaneous_adipose_tissue_female_adult__51_year_	3895	Subcutaneous Adipose Tissue	CHIP_CTCF	Subcutaneous Adipose Tissue	Adipose	Adult	Tissue
CHIP_CTCF_subcutaneous_adipose_tissue_female_adult__53_years_	3804	Subcutaneous Adipose Tissue	CHIP_CTCF	Subcutaneous Adipose Tissue	Adipose	Adult	Tissue
CHIP_CTCF_astrocyte_of_the_cerebellum	1162	Astrocyte of the Cerebellum	CHIP_CTCF	Astrocyte	Brain	Adult	Tissue
CHIP_CTCF_astrocyte_of_the_spinal_cord	1159	Astrocyte of the Spinal Cord	CHIP_CTCF	Astrocyte	Brain	Adult	Tissue
CHIP_CTCF_astrocyte	751	Astrocyte CTCF Chip-Seq	CHIP_CTCF	Primary Astrocyte	Brain	Adult	Tissue
CHIP_CTCF_22Rv1	4095	22Rv1 CTCF Chip-Seq	CHIP_CTCF	22Rv1	Cancer	Unknown	Cell Line
CHIP_CTCF_22Rv1_treated_with_10_nM_17B_hydroxy_5a_androstan_3_one_for_4_hours	4061	22Rv1 CTCF Chip-Seq (Treated)	CHIP_CTCF	22Rv1	Cancer	Unknown	Cell Line
CHIP_CTCF_A549	1084	A549 CTCF Chip-Seq	CHIP_CTCF	A549	Cancer	Unknown	Cell Line
CHIP_CTCF_A549	1242	A549 CTCF Chip-Seq	CHIP_CTCF	A549	Cancer	Unknown	Cell Line
CHIP_CTCF_A549_treated_with_100_nM_dexamethasone_for_1_hour	846	A549 CTCF Chip-Seq (Treated)	CHIP_CTCF	A549	Cancer	Unknown	Cell Line
CHIP_CTCF_A673	3336	A673 CTCF Chip-Seq	CHIP_CTCF	A673	Cancer	Unknown	Cell Line
CHIP_CTCF_BE2C	1119	BE2C CTCF Chip-Seq	CHIP_CTCF	BE2C	Cancer	Unknown	Cell Line
CHIP_CTCF_C4_2B	2866	C4-2B CTCF Chip-Seq	CHIP_CTCF	C4_2B	Cancer	Unknown	Cell Line
CHIP_CTCF_Caco_2	1127	Caco-2 CTCF Chip-Seq	CHIP_CTCF	Caco-2	Cancer	Unknown	Cell Line
CHIP_CTCF_DOHH2	1706	DOHH2 CTCF Chip-Seq	CHIP_CTCF	DOHH2	Cancer	Unknown	Cell Line
CHIP_CTCF_H54	1067	H54 CTCF Chip-Seq	CHIP_CTCF	H54	Cancer	Unknown	Cell Line
CHIP_CTCF_HCT116	1055	HCT116 CTCF Chip-Seq	CHIP_CTCF	HCT116	Cancer	Unknown	Cell Line
CHIP_CTCF_HCT116	1172	HCT116 CTCF Chip-Seq	CHIP_CTCF	HCT116	Cancer	Unknown	Cell Line
CHIP_CTCF_HCT116	2203	HCT116 CTCF Chip-Seq	CHIP_CTCF	HCT116	Cancer	Unknown	Cell Line
CHIP_CTCF_HeLa_S3	742	HeLa-S3 CTCF Chip-Seq	CHIP_CTCF	HeLa-S3	Cancer	Unknown	Cell Line
CHIP_CTCF_HL_60	1188	HL-60	CHIP_CTCF	HL-60	Cancer	Unknown	Cell Line
CHIP_CTCF_Ishikawa_treated_with_0_02%_dimethyl_sulfoxide_for_1_hour	1025	Ishikawa CTCF Chip-Seq	CHIP_CTCF	Ishikawa	Cancer	Unknown	Cell Line
CHIP_CTCF_KMS_11	2766	KMS-11	CHIP_CTCF	KMS-11	Cancer	Unknown	Cell Line
CHIP_CTCF_LNCAP	2413	LNCAP CTCF Chip-Seq	CHIP_CTCF	LNCAP	Cancer	Unknown	Cell Line
CHIP_CTCF_LNCaP_clone_FGC	1075	LNCaP Clone FGC CTCF Chip-Seq	CHIP_CTCF	LNCaP	Cancer	Unknown	Cell Line
CHIP_CTCF_LNCAP_treated_with_10_nM_17B_hydroxy_5a_androstan_3_one_for_4_hours	3526	LNCAP CTCF Chip-Seq	CHIP_CTCF	LNCAP	Cancer	Unknown	Cell Line
CHIP_CTCF_Loucy	2880	Loucy	CHIP_CTCF	Loucy	Cancer	Unknown	Cell Line
CHIP_CTCF_medulloblastoma	1083	Medulloblastoma	CHIP_CTCF	Medulloblastoma	Cancer	Unknown	Cell Line
CHIP_CTCF_MM_1S	2671	MM.1S	CHIP_CTCF	MM.1S	Cancer	Unknown	Cell Line
CHIP_CTCF_NB4	1217	NB4	CHIP_CTCF	NB4	Cancer	Unknown	Cell Line
CHIP_CTCF_NCI_H929	3403	NCI-H929	CHIP_CTCF	NCI-H929	Cancer	Unknown	Cell Line
CHIP_CTCF_OCI_LY1	1664	OCI-LY1	CHIP_CTCF	OCI-LY1	Cancer	Unknown	Cell Line
CHIP_CTCF_OCI_LY3	3784	OCI-LY3	CHIP_CTCF	OCI-LY3	Cancer	Unknown	Cell Line
CHIP_CTCF_OCI_LY7	1528	OCI-LY7	CHIP_CTCF	OCI-LY7	Cancer	Unknown	Cell Line
CHIP_CTCF_Panc1	2091	Panc1	CHIP_CTCF	Panc1	Cancer	Unknown	Cell Line
CHIP_CTCF_PC_3	2548	PC-3	CHIP_CTCF	PC-3	Cancer	Unknown	Cell Line
CHIP_CTCF_PC_9	2211	PC-9	CHIP_CTCF	PC-9	Cancer	Unknown	Cell Line
CHIP_CTCF_RWPE2	4092	RWPE2	CHIP_CTCF	RWPE2	Cancer	Unknown	Cell Line
CHIP_CTCF_SK_N_SH	1371	SK-N-SH	CHIP_CTCF	SK-N-SH	Cancer	Unknown	Cell Line
CHIP_CTCF_SK_N_SH	3110	SK-N-SH	CHIP_CTCF	SK-N-SH	Cancer	Unknown	Cell Line
CHIP_CTCF_SK_N_SH_treated_with_6_uM_all_trans_retinoic_acid_for_48_hours	967	SK-N-SH (treated with 6 uM all-trans retinoic acid for 48 hours)	CHIP_CTCF	SK-N-SH (treated with 6 uM all-trans retinoic acid for 48 hours)	Cancer	Unknown	Cell Line
CHIP_CTCF_SU_DHL_6	1846	SU-DHL-6	CHIP_CTCF	SU-DHL-6	Cancer	Unknown	Cell Line
CHIP_CTCF_WERI_Rb_1	1237	WERI-Rb-1 CTCF Chip-Seq	CHIP_CTCF	WERI_Rb_1	Cancer	Unknown	Cell Line
CHIP_CTCF_Parathyroid_adenoma_male_adult__62_years_	3865	Parathyroid Adenoma	CHIP_CTCF	Parathyroid Adenoma	Cancer	Adult	Tissue
CHIP_CTCF_Parathyroid_adenoma_male_adult__65_years_	2475	Parathyroid Adenoma	CHIP_CTCF	Parathyroid Adenoma	Cancer	Adult	Tissue
CHIP_CTCF_esophagus_muscularis_mucosa_female_adult__51_year_	2530	Esophagus Muscularis Mucosa	CHIP_CTCF	Esophagus Muscularis Mucosa	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_muscularis_mucosa_female_adult__53_years_	1673	Esophagus Muscularis Mucosa	CHIP_CTCF	Esophagus Muscularis Mucosa	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_muscularis_mucosa_male_adult__37_years_	3175	Esophagus Muscularis Mucosa	CHIP_CTCF	Esophagus Muscularis Mucosa	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_squamous_epithelium_female_adult__51_year_	1453	Esophagus Squamous Epithelium	CHIP_CTCF	Esophagus Squamous Epithelium	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_squamous_epithelium_female_adult__53_years_	3783	Esophagus Squamous Epithelium	CHIP_CTCF	Esophagus Squamous Epithelium	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_squamous_epithelium_female_adult__53_years_	3838	Esophagus Squamous Epithelium	CHIP_CTCF	Esophagus Squamous Epithelium	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_squamous_epithelium_male_adult__37_years_	4038	Esophagus Squamous Epithelium	CHIP_CTCF	Esophagus Squamous Epithelium	Digestive	Adult	Tissue
CHIP_CTCF_esophagus_squamous_epithelium_male_adult__54_years_	2848	Esophagus Squamous Epithelium	CHIP_CTCF	Esophagus Squamous Epithelium	Digestive	Adult	Tissue
CHIP_CTCF_gastroesophageal_sphincter_female_adult__51_year_	1905	Gastroesophageal Sphincter	CHIP_CTCF	Gastroesophageal Sphincter	Digestive	Adult	Tissue
CHIP_CTCF_gastroesophageal_sphincter_female_adult__53_years_	2098	Gastroesophageal Sphincter	CHIP_CTCF	Gastroesophageal Sphincter	Digestive	Adult	Tissue
CHIP_CTCF_gastroesophageal_sphincter_male_adult__37_years_	2033	Gastroesophageal Sphincter	CHIP_CTCF	Gastroesophageal Sphincter	Digestive	Adult	Tissue
CHIP_CTCF_gastroesophageal_sphincter_male_adult__54_years_	3488	Gastroesophageal Sphincter	CHIP_CTCF	Gastroesophageal Sphincter	Digestive	Adult	Tissue
CHIP_CTCF_Peyer's_patch_female_adult__51_year_	2646	Peyer's Patch	CHIP_CTCF	Peyer's Patch	Digestive	Adult	Tissue
CHIP_CTCF_Peyer's_patch_female_adult__53_years_	2593	Peyer's Patch	CHIP_CTCF	Peyer's Patch	Digestive	Adult	Tissue
CHIP_CTCF_Peyer's_patch_male_adult__37_years_	2725	Peyer's Patch	CHIP_CTCF	Peyer's Patch	Digestive	Adult	Tissue
CHIP_CTCF_Peyer's_patch_male_adult__54_years_	3930	Peyer's Patch	CHIP_CTCF	Peyer's Patch	Digestive	Adult	Tissue
CHIP_CTCF_sigmoid_colon_female_adult__53_years_	4304	Sigmoid Colon	CHIP_CTCF	Sigmoid Colon	Digestive	Adult	Tissue
CHIP_CTCF_sigmoid_colon_male_adult__37_years_	3680	Sigmoid Colon	CHIP_CTCF	Sigmoid Colon	Digestive	Adult	Tissue
CHIP_CTCF_sigmoid_colon_male_adult__54_years_	2151	Sigmoid Colon	CHIP_CTCF	Sigmoid Colon	Digestive	Adult	Tissue
CHIP_CTCF_stomach_female_adult__51_year_	1989	Stomach	CHIP_CTCF	Stomach	Digestive	Adult	Tissue
CHIP_CTCF_stomach_female_adult__53_years_	3848	Stomach	CHIP_CTCF	Stomach	Digestive	Adult	Tissue
CHIP_CTCF_stomach_male_adult__37_years_	3355	Stomach	CHIP_CTCF	Stomach	Digestive	Adult	Tissue
CHIP_CTCF_stomach_male_adult__54_years_	3134	Stomach	CHIP_CTCF	Stomach	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_female_adult__51_year_	3168	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_female_adult__53_years_	2191	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_female_adult__53_years_	3828	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_male_adult__37_years_	1769	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_male_adult__37_years_	3329	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_male_adult__54_years_	4024	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_transverse_colon_male_adult__54_years_	4252	Transverse Colon	CHIP_CTCF	Transverse Colon	Digestive	Adult	Tissue
CHIP_CTCF_adrenal_gland_female_adult__51_year_	1490	Adrenal Gland (Female, 51 years) CTCF Chip-Seq	CHIP_CTCF	Adrenal Gland	Endocrine	Adult	Tissue
CHIP_CTCF_adrenal_gland_female_adult__53_years_	3831	Adrenal Gland (Female, 53 years) CTCF Chip-Seq	CHIP_CTCF	Adrenal Gland	Endocrine	Adult	Tissue
CHIP_CTCF_adrenal_gland_male_adult__37_years_	4225	Adrenal Gland (Male, 37 years) CTCF Chip-Seq	CHIP_CTCF	Adrenal Gland	Endocrine	Adult	Tissue
CHIP_CTCF_adrenal_gland_male_adult__54_years_	2847	Adrenal Gland (Male, 54 years) CTCF Chip-Seq	CHIP_CTCF	Adrenal Gland	Endocrine	Adult	Tissue
CHIP_CTCF_ovary_female_adult__51_year_	3130	Ovary	CHIP_CTCF	Ovary	Endocrine	Adult	Tissue
CHIP_CTCF_ovary_female_adult__53_years_	2972	Ovary	CHIP_CTCF	Ovary	Endocrine	Adult	Tissue
CHIP_CTCF_thyroid_gland_female_adult__51_year_	4377	Thyroid Gland	CHIP_CTCF	Thyroid Gland	Endocrine	Adult	Tissue
CHIP_CTCF_thyroid_gland_female_adult__53_years_	3751	Thyroid Gland	CHIP_CTCF	Thyroid Gland	Endocrine	Adult	Tissue
CHIP_CTCF_thyroid_gland_male_adult__54_years_	2971	Thyroid Gland	CHIP_CTCF	Thyroid Gland	Endocrine	Adult	Tissue
CHIP_CTCF_brain_microvascular_endothelial_cell	1163	Brain Microvascular Endothelial Cell	CHIP_CTCF	Brain Microvascular Endothelial Cell	Endothelial	Adult	Tissue
CHIP_CTCF_endothelial_cell_of_umbilical_vein_male_newborn	704	Endothelial Cell of Umbilical Vein	CHIP_CTCF	Endothelial Cell of Umbilical Vein	Endothelial	Newborn	Tissue
CHIP_CTCF_tibial_artery_male_adult__37_years_	3605	Tibial Artery	CHIP_CTCF	Tibial Artery	Endothelial	Adult	Tissue
CHIP_CTCF_RWPE1	2379	RWPE1	CHIP_CTCF	RWPE1	Epithelial	Unknown	Cell Line
CHIP_CTCF_choroid_plexus_epithelial_cell	1170	Choroid Plexus Epithelial Cell	CHIP_CTCF	Choroid Plexus Epithelial Cell	Epithelial	Adult	Tissue
